t,H,observed_EL,theory_EL
2.16,128,64.14018288180853,64.13108255786707
2.175,128,64.12571212997597,64.11749528730199
2.19,128,64.11267303415669,64.10526039436132
2.205,128,64.10093306972877,64.09425154053932
2.2199999999999998,128,64.09037066975363,64.08435299305575
2.235,128,64.0808745037777,64.07545890489574
2.25,128,64.0723427779773,64.06747261943835
2.265,128,64.06468256007619,64.06030600260439
2.28,128,64.05780913172137,64.05387880473606
2.295,128,64.05164537032267,64.04811805377497
2.31,128,64.04612116175062,64.04295748073079
2.3249999999999997,128,64.04117284474515,64.03833697792895
2.34,128,64.03674268741368,64.03420209009323
2.355,128,64.03277839578979,64.03050353794853
2.37,128,64.02923265407873,64.02719677372511
2.385,128,64.02606269592914,64.02424156769291
2.4,128,64.02322990583878,64.02160162465778
2.415,128,64.02069944961698,64.01924422919797
2.4299999999999997,128,64.01843993268791,64.0171399183082
2.445,128,64.01642308491577,64.01526218004196
2.46,128,64.01462347056638,64.01358717669723
2.475,128,64.01301822197955,64.01209349107232
2.4899999999999998,128,64.0115867955127,64.0107618943193
2.505,128,64.0103107483215,64.00957513394431
2.52,128,64.00917353456639,64.0085177405372
2.5349999999999997,128,64.00816031966875,64.00757585185933
2.55,128,64.00725781128811,64.00673705297365
2.565,128,64.00645410574522,64.00599023115979
2.58,128,64.00573854867582,64.00532544442433
2.5949999999999998,128,64.00510160876462,64.00473380248124
2.61,128,64.00453476347376,64.00420735914918
2.625,128,64.00403039574852,64.00373901517747
2.6399999999999997,128,64.00358170074844,64.00332243058352
2.655,128,64.0031826017188,64.00295194564836
2.67,128,64.00282767418099,64.0026225097815
2.685,128,64.00251207768233,64.00232961752755
2.6999999999999997,128,64.00223149440473,64.00206925104536
2.715,128,64.00198207398836,64.0018378284447
2.73,128,64.00176038397936,64.00163215741861
2.745,128,64.00156336536035,64.00144939365669
